"schema_name","table_name","trigger_name","trigger_definition","trigger_timing","trigger_level","trigger_events","function_name","function_schema"
"public","formation","trg_generate_formation_id","CREATE TRIGGER trg_generate_formation_id BEFORE INSERT ON public.formation FOR EACH ROW WHEN ((new.id_formation IS NULL)) EXECUTE FUNCTION generate_formation_id()","BEFORE","ROW","OTHER","generate_formation_id","public"
"public","formation","trg_set_formation_id","CREATE TRIGGER trg_set_formation_id BEFORE INSERT ON public.formation FOR EACH ROW EXECUTE FUNCTION set_formation_id()","BEFORE","ROW","OTHER","set_formation_id","public"
"public","formation_instance","trg_generate_formation_instance_id","CREATE TRIGGER trg_generate_formation_instance_id BEFORE INSERT ON public.formation_instance FOR EACH ROW WHEN ((new.id_formation_instance IS NULL)) EXECUTE FUNCTION generate_formation_instance_id()","BEFORE","ROW","OTHER","generate_formation_instance_id","public"
"public","formation_instance","trg_set_formation_instance_id","CREATE TRIGGER trg_set_formation_instance_id BEFORE INSERT ON public.formation_instance FOR EACH ROW EXECUTE FUNCTION set_formation_instance_id()","BEFORE","ROW","OTHER","set_formation_instance_id","public"
"public","formation_instance","trg_verif_jour_formation_instance","CREATE TRIGGER trg_verif_jour_formation_instance BEFORE INSERT OR UPDATE ON public.formation_instance FOR EACH ROW EXECUTE FUNCTION verif_jour_formation_instance()","BEFORE","ROW","DELETE","verif_jour_formation_instance","public"
"public","reservation","trg_generate_reservation_id","CREATE TRIGGER trg_generate_reservation_id BEFORE INSERT ON public.reservation FOR EACH ROW WHEN ((new.id_reservation IS NULL)) EXECUTE FUNCTION generate_reservation_id()","BEFORE","ROW","OTHER","generate_reservation_id","public"
"public","reservation","trg_set_reservation_id","CREATE TRIGGER trg_set_reservation_id BEFORE INSERT ON public.reservation FOR EACH ROW EXECUTE FUNCTION set_reservation_id()","BEFORE","ROW","OTHER","set_reservation_id","public"
"public","table_reservation","trigger_verif_max_reservations","CREATE TRIGGER trigger_verif_max_reservations BEFORE INSERT OR UPDATE ON public.table_reservation FOR EACH ROW EXECUTE FUNCTION verif_max_reservations()","BEFORE","ROW","DELETE","verif_max_reservations","public"
